亜	a
返	k a e r ɯ
保	t a m o t͡ɕ ɯ
法	h o ɯ
報	t͡ɕ i r a s e r ɯ
豊	j ɯ t a k a
方	h o ɯ
北	k i t a
本	h o n
毎	m a i
名	n a m a e
明	a k i r a k a
目	m e
役	j a k ɯ
薬	k ɯ s ɯ r i
友	t o m o
由	j ɯ ɯ
有	a r ɯ
夕	j ɯː ɯ ɡ a t a
予	j o
世	j o
用	t͡ɕ ɯ k a ɯ
来	k ɯ r ɯ
理	w a r i
利	t o s e
良	j o i
旅	t a b i
両	r j o ɯ
話	h a n a ɕ i
和	j a w a r a ɡ ɯ
暁	a k a t s ɯ k i
秋	a k i
汗	a s e
朝	a s a
浅	a s a i
遊	a s o b ɯ
当	a t a r ɯ
与	a t a e r ɯ
歩	a r ɯ k ɯ
荒	a r a i
嵐	a r a ɕ i
甘	a m a i
赤	a k a i
青	a o i
味	a d ʑ i
落	o t͡ɕ i r ɯ
起	o k i r ɯ
置	o k ɯ
踊	o d o r ɯ
老	o i r ɯ
押	o s ɯ
面	o m o t e
折	o r ɯ
終	o w a r ɯ
壁	k a b e
鏡	k a ɡ a m i
霧	k i r i
言	i ɯ
命	i n o t͡ɕ i
痛	i t a i
犬	i n ɯ
猫	n e k o
魚	s a k a n a
馬	ɯ m a
牛	ɯ ɕ i
豚	b ɯ t a
鶏	n i w a t o r i
虎	t o r a
熊	k ɯ m a
狐	k i t s ɯ n e
兎	ɯ s a ɡ i
羊	h i t s ɯ d ʑ i
猿	s a r ɯ
蛇	h e b i
蛙	k a e r ɯ
亀	k a m e
蝶	t͡ɕ o ɯ t͡ɕ o ɯ
蜂	h a t͡ɕ i
蟹	k a n i
烏	k a r a s ɯ
鷹	t a k a
鶴	t s ɯ r ɯ
頭	a t a m a
顔	k a o
鼻	h a n a
口	k ɯ t͡ɕ i
舌	ɕ i t a
歯	h a
首	k ɯ b i
肩	k a t a
腕	ɯ d e
指	j ɯ b i
腹	h a r a
足	a ɕ i
膝	h i z a
腰	k o ɕ i
髪	k a m i
心	k o k o r o
皮	k a w a
川	k a w a
風	k a z e
林	h a j a ɕ i
森	m o r i
音	o t o
影	k a ɡ e
香	k a o r i
軽	k a r ɯ i
黒	k ɯ r o i
橙	d a i d a i
緑	m i d o r i
紫	m ɯ r a s a k i
茶	t͡ɕ a
銀	ɡ i n
昔	m ɯ k a ɕ i
前	m a e
豆	m a m e
枕	m a k ɯ r a
見	m i r ɯ
短	m i d ʑ i k a i
店	m i s e
皆	m i n a
丸	m a r ɯ
娘	m ɯ s ɯ m e
虫	m ɯ ɕ i
村	m ɯ r a
物	m o n o
申	m o ɯ s ɯ
翌	j o k ɯ
優	j a s a ɕ i i
夢	j ɯ m e
雪	j ɯ k i
夜	j o r ɯ
喜	j o r o k o b ɯ
嫁	j o m e
料	r j o ɯ
量	r j o ɯ
略	r j a k ɯ
乱	m i d a r e r ɯ
陸	r i k ɯ
立	t a t͡ɕ ɯ
離	h a n a r e r ɯ
労	r o ɯ
路	m i t͡ɕ i
論	r o n
礼	r e i
令	r e i
例	t a t o e b a
連	t s ɯ r e r ɯ
列	r e t s ɯ
忘	w a s ɯ r e r ɯ
渡	w a t a r ɯ
狭	s e m a i
新	a t a r a ɕ i i
硬	k a t a i
柔	j a w a r a k a i
深	f ɯ k a i
遅	o s o i
厚	a t s ɯ i
辛	k a r a i
酸	s ɯ p p a i
黄	k i i r o
四	j o t t͡ɕ i
六	m ɯ t t͡ɕ i
八	j a t t͡ɕ i
九	k o k o n o t͡ɕ i
十	t o ɯ
百	h j a k ɯ
千	s e n
万	m a n
木	k i
水	m i z ɯ
春	h a r ɯ
東	h i ɡ a ɕ i
昼	h i r ɯ
広	h i r o i
低	h i k ɯ i
拾	h i r o ɯ
冷	h i j a k e r ɯ
箸	h a ɕ i
薄	ɕ i n n a i
芝	ɕ i b a
貸	k a s ɯ
悩	n a j a m ɯ
怖	k o w a i
眠	n e m ɯ r ɯ
寒	s a m ɯ i
暑	a t͡ɕ i i
痩	j a s e r ɯ
叫	s a k e b ɯ
走	h a ɕ i r ɯ
跳	t o b ɯ
引	h i k ɯ
打	ɯ t͡ɕ ɯ
閉	t o d ʑ i r ɯ
持	m o t͡ɕ ɯ
食	t a b e r ɯ
描	k a k ɯ
寝	n e r ɯ
座	s ɯ w a r ɯ
咲	s a k ɯ
枯	k a r e r ɯ
鼓	t a i k o
笛	f ɯ e
弦	i t o
琴	k o t o
鍵	k a ɡ i
鐘	k a n e
鈴	s ɯ z ɯ
盾	t a t e
矢	j a
剣	t s ɯ r u ɡ i
槍	j a r i
甲	k o ɯ r a
兜	k a b ɯ t o
鎧	j o r o i
城	ɕ i r o
寺	t e r a
神	k a m i
仏	h o t o k e
坊	b o ɯ
殿	t o n o
町	m a t͡ɕ i
市	i t͡ɕ i
峠	t o ɡ e
岩	i w a
滝	t a k i
湖	m i z ɯ ɯ m i
浜	h a m a
岸	k i ɕ i
洞	d o ɯ k ɯ t s ɯ
雷	k a m i n a r i
氷	k o o r i
虹	n i d ʑ i
霞	k a s ɯ m i
暮	k ɯ r e
昨	s a k ɯ
親	o j a
母	h a h a
兄	a n i
姉	a n e
弟	o t o ɯ t o
妹	i m o ɯ t o
祖	s o
孫	m a ɡ o
夫	o t t o
妻	t s ɯ m a
子	k o
息	m ɯ s ɯ k o
叔	o d ʑ i
甥	o i
姪	m e i
従	i t o k o
恋	k o i
希	k i b o ɯ
望	n o z o m ɯ
幸	ɕ i a w a s e
恐	o s o r e
惜	o ɕ i i
懐	n a t s ɯ k a ɕ i i
恥	h a d ʑ i
誇	h o k o r i
誉	h o m e r ɯ
傷	k i z ɯ
病	j a m a i
