aaba	æː b æ
ada	æ d æ
adaelu	æ d æ e l u
adag	æ d æ ɡ
adal	æ d æ l
adam	æ d æ m
adama	æ d æ m æ
adamu	æ d æ m u
adan	æ d æ n
adana	æ d æ n æ
adanyaha	æ d æ n j æ h æ
adanyo	æ d æ n j ɔ
adaora	æ d æ ɔ r æ
adasa	æ d æ s æ
adawe	æ d æ w e
adb	æ d b
adda	æ d d æ
adde	æ d d e
addidas	æ d d i d æ s
addimo	æ d d i m ɔ
addis	æ d d i s
addison	æ d d i s ɔ n
addo	æ d d ɔ
addoonta	æ d d ɔː n t æ
addow	æ d d ɔ w
addrup	æ d d r u
adduun	æ d d uː n
adduunka	æ d d uː n k æ
adduunyo	æ d d uː n j ɔ
ade	æ d e
adebayo	æ d e b æ j ɔ
adebimpe	æ d e b i m e
adebola	æ d e b ɔ l æ
adebukola	æ d e b u k ɔ l æ
adedayo	æ d e d æ j ɔ
adedeji	æ d e d e d͡ʒ i
adedimeji	æ d e d i m e d͡ʒ i
adedokun	æ d e d ɔ k u n
adeec	æ d eː ʕ
adeeg	æ d eː ɡ
adeega	æ d eː ɡ æ
adeegga	æ d eː ɡ ɡ æ
adeer	æ d eː r
adejare	æ d e d͡ʒ æ r e
adekola	æ d e k ɔ l æ
adekunle	æ d e k u n l e
adelaide	æ d e l æ i d e
adelana	æ d e l æ n æ
adele	æ d e l e
adelebsen	æ d e l e b s e n
adeleke	æ d e l e k e
adelere	æ d e l e r e
adelheidsdorf	æ d e l h e i d s d ɔ r f
adelmannsfelden	æ d e l m æ n n s f e l d e n
adelschlag	æ d e l s ʕ h l æ ɡ
adelsheim	æ d e l ʃ e i m
adelsried	æ d e l s r i e d
adelzhausen	æ d e l h æ u s e n
ademoye	æ d e m ɔ j e
aden	æ d e n
adenaike	æ d e n æ i k e
adenau	æ d e n æ u
adenb	æ d e n b
adenbach	æ d e n b æ ʕ h
adenoviridae	æ d e n ɔ i r i d æ e
adenoviruses	æ d e n ɔ i r u s e s
adeoye	æ d e ɔ j e
aderibigbe	æ d e r i b i ɡ b e
adesanmi	æ d e s æ n m i
adesanya	æ d e s æ n j æ
adesua	æ d e s u æ
adewale	æ d e w æ l e
adeyemi	æ d e j e m i
adham	æ ɖ æ m
adhanom	æ ɖ æ n ɔ m
adhaxlay	æ ɖ æ ħ l æ j
adhet	æ ɖ e t
adhi	æ ɖ i
adhicadeeye	æ ɖ i ʕ æ d eː j e
adhinimo	æ ɖ i n i m ɔ
adiam	æ d i æ m
adimora	æ d i m ɔ r æ
adis	æ d i s
adisa	æ d i s æ
adke	æ d k e
adlershof	æ d l e r ʃ ɔ f
admas	æ d m æ s
adna	æ d n æ
adnan	æ d n æ n
ado	æ d ɔ
adolf	æ d ɔ l f
adoon	æ d ɔː n
adoonsi	æ d ɔː n s i
adorf	æ d ɔ r f
adriaan	æ d r i æː n
adrian	æ d r i æ n
adriana	æ d r i æ n æ
adrianne	æ d r i æ n n e
adrien	æ d r i e n
adult	æ d u l t
adulyadej	æ d u l j æ d e d͡ʒ
adut	æ d u t
aduun	æ d uː n
aduunka	æ d uː n k æ
adventures	æ d e n t u r e s
adwoa	æ d w ɔ æ
adxa	æ d ħ æ
adxaa	æ d ħ æː
aebtissinwisch	æ e b t i s s i n w i s ʕ h
aerzen	æ e r e n
aespa	æ e s æ
af	æ f
afafka	æ f æ f k æ
afakadho	æ f æ k æ ɖ ɔ
afambo	æ f æ m b ɔ
afar	æ f æ r
afareey	æ f æ r eː j
afarta	æ f æ r t æ
afartan	æ f æ r t æ n
afartii	æ f æ r t iː
afaru	æ f æ r u
afbakayle	æ f b æ k æ j l e
afbarwaaqo	æ f b æ r w æː q ɔ
afc	æ f ʕ
afcon	æ f ʕ ɔ n
afdhere	æ f ɖ e r e
afdhowrka	æ f ɖ ɔ w r k æ
afduub	æ f d uː b
afduubkii	æ f d uː b k iː
afe	æ f e
afennourrir	æ f e n n ɔ u r r i r
afentra	æ f e n t r æ
affalterbach	æ f f æ l t e r b æ ʕ h
affelay	æ f f e l æ j
affing	æ f f i n ɡ
affinghausen	æ f f i n ɡ h æ u s e n
affler	æ f f l e r
affligem	æ f f l i ɡ e m
affo	æ f f ɔ
afgaanisataan	æ f ɡ æː n i s æ t æː n
afgaanistaan	æ f ɡ æː n i s t æː n
afgaanistan	æ f ɡ æː n i s t æ n
afgambi	æ f ɡ æ m b i
afgambigii	æ f ɡ æ m b i ɡ iː
afgan	æ f ɡ æ n
afganbi	æ f ɡ æ n b i
afganistan	æ f ɡ æ n i s t æ n
afgembi	æ f ɡ e m b i
afghan	æ f ɡ h æ n
afghanistan	æ f ɡ h æ n i s t æ n
afgobaadsi	æ f ɡ ɔ b æː d s i
afgooye	æ f ɡ ɔː j e
afguduud	æ f ɡ u d uː d
afgumasoorey	æ f ɡ u m æ s ɔː r e j
afguri	æ f ɡ u r i
afhayeenada	æ f h æ j eː n æ d æ
afka	æ f k æ
afkubo	æ f k u b ɔ
aflixi	æ f l i ħ i
afmadow	æ f m æ d ɔ w
afogadro	æ f ɔ ɡ æ d r ɔ
afolabi	æ f ɔ l æ b i
afolarin	æ f ɔ l æ r i n
afqaanistan	æ f q æː n i s t æ n
afrah	æ f r æ h
afrasian	æ f r æ s i æ n
afrax	æ f r æ ħ
afrera	æ f r e r æ
africa	æ f r i ʕ æ
african	æ f r i ʕ æ n
afrika	æ f r i k æ
afrikaanka	æ f r i k æː n k æ
afrikaans	æ f r i k æː n s
afrikada	æ f r i k æ d æ
afrikan	æ f r i k æ n
afrinic	æ f r i n i ʕ
afro	æ f r ɔ
afrta	æ f r t æ
after	æ f t e r
afti	æ f t i
afurur	æ f u r u r
afwayn	æ f w æ j n
afwerki	æ f w e r k i
afweyn	æ f w e j n
ag	æ ɡ
aga	æ ɡ æ
agaasime	æ ɡ æː s i m e
agabar	æ ɡ æ b æ r
agalka	æ ɡ æ l k æ
agarau	æ ɡ æ r æ u
agatha	æ ɡ æ t h æ
agathenburg	æ ɡ æ t h e n b u r ɡ
agaw	æ ɡ æ w
agbo	æ ɡ b ɔ
agdal	æ ɡ d æ l
agefet	æ ɡ e f e t
agethorst	æ ɡ e t h ɔ r s t
aggenbach	æ ɡ ɡ e n b æ ʕ h
agiriliig	æ ɡ i r i l iː ɡ
aglasterhausen	æ ɡ l æ s t e r h æ u s e n
agnes	æ ɡ n e s
agnieszka	æ ɡ n i e s k æ
agodi	æ ɡ ɔ d i
agool	æ ɡ ɔː l
agoon	æ ɡ ɔː n
agoosto	æ ɡ ɔː s t ɔ
agrawal	æ ɡ r æ w æ l
agren	æ ɡ r e n
aguelmam	æ ɡ u e l m æ m
aguilar	æ ɡ u i l æ r
aguilera	æ ɡ u i l e r æ
agulanna	æ ɡ u l æ n n æ
agulhas	æ ɡ u l h æ s
agulu	æ ɡ u l u
ah	æ h
ahaan	æ h æː n
ahaansho	æ h æː n ʃ ɔ
ahaato	æ h æː t ɔ
ahafo	æ h æ f ɔ
ahdyar	æ h d j æ r
ahe	æ h e
ahegao	æ h e ɡ æ ɔ
ahl	æ h l
ahle	æ h l e
ahli	æ h l i
ahlsdorf	æ h l s d ɔ r f
ahlst	æ h l s t
ahlu	æ h l u
ahmadi	æ h m æ d i
ahmadinajad	æ h m æ d i n æ d͡ʒ æ d
ahmadinejad	æ h m æ d i n e d͡ʒ æ d
ahmadiyya	æ h m æ d i j j æ
ahmar	æ h m æ r
ahmed	æ h m e d
ahmet	æ h m e t
ahn	æ h n
ahnatal	æ h n æ t æ l
ahneby	æ h n e b j
ahnsbeck	æ h n s b e ʕ k
ahnsen	æ h n s e n
ahorntal	æ h ɔ r n t æ l
ahrbr	æ h r b r
ahrensb	æ h r e n s b
ahrensburg	æ h r e n s b u r ɡ
ahrensfelde	æ h r e n s f e l d e
ahrensh	æ h r e n ʃ
ahrenshoop	æ h r e n ʃ ɔː
ahrenvi	æ h r e n i
ahzar	æ h æ r
aichach	æ i ʕ h æ ʕ h
aichelberg	æ i ʕ h e l b e r ɡ
aichhalden	æ i ʕ h h æ l d e n
aichtal	æ i ʕ h t æ l
aichwald	æ i ʕ h w æ l d
aidara	æ i d æ r æ
aidenbach	æ i d e n b æ ʕ h
aidid	æ i d i d
aidlingen	æ i d l i n ɡ e n
aids	æ i d s
aigbe	æ i ɡ b e
aiglsbach	æ i ɡ l s b æ ʕ h
aiib	æ iː b
aika	æ i k æ
ailee	æ i l eː
ailertchen	æ i l e r t ʕ h e n
aime	æ i m e
ain	æ i n
aindling	æ i n d l i n ɡ
ainehi	æ i n e h i
ainslee	æ i n s l eː
ainslie	æ i n s l i e
air	æ i r
airbus	æ i r b u s
aires	æ i r e s
airlines	æ i r l i n e s
airport	æ i r ɔ r t
aiseau	æ i s e æ u
aisha	æ i ʃ æ
aishwarya	æ i ʃ w æ r j æ
aislingen	æ i s l i n ɡ e n
aiterhofen	æ i t e r h ɔ f e n
aitern	æ i t e r n
aitrach	æ i t r æ ʕ h
aitrang	æ i t r æ n ɡ
aiyedehin	æ i j e d e h i n
aiyeola	æ i j e ɔ l æ
ajakis	æ d͡ʒ æ k i s
ajax	æ d͡ʒ æ ħ
ajay	æ d͡ʒ æ j
ajayi	æ d͡ʒ æ j i
ajdjadajd	æ d͡ʒ d d͡ʒ æ d æ d͡ʒ d
ajebo	æ d͡ʒ e b ɔ
ajey	æ d͡ʒ e j
ajibade	æ d͡ʒ i b æ d e
ajnabi	æ d͡ʒ n æ b i
ajnabiga	æ d͡ʒ n æ b i ɡ æ
ajonye	æ d͡ʒ ɔ n j e
ajoon	æ d͡ʒ ɔː n
ajram	æ d͡ʒ r æ m
ajuuraan	æ d͡ʒ uː r æː n
ak	æ k
akachi	æ k æ ʕ h i
akachukwu	æ k æ ʕ h u k w u
akadeemiyada	æ k æ d eː m i j æ d æ
akahan	æ k æ h æ n
akan	æ k æ n
akara	æ k æ r æ
akari	æ k æ r i
akashi	æ k æ ʃ i
akaydin	æ k æ j d i n
akda	æ k d æ
akech	æ k e ʕ h
akfadou	æ k f æ d ɔ u
akhaya	æ χ æ j æ
akhlaaq	æ χ l æː q
akhrisku	æ χ r i s k u
akhriso	æ χ r i s ɔ
akil	æ k i l
akilu	æ k i l u
akin	æ k i n
akindele	æ k i n d e l e
akinmade	æ k i n m æ d e
akinpelu	æ k i n e l u
akinrinade	æ k i n r i n æ d e
akinshina	æ k i n ʃ i n æ
akinyelure	æ k i n j e l u r e
akiolu	æ k i ɔ l u
akishibu	æ k i ʃ i b u
akkad	æ k k æ d
akkadiyaan	æ k k æ d i j æː n
akon	æ k ɔ n
akosombo	æ k ɔ s ɔ m b ɔ
akpan	æ k æ n
akram	æ k r æ m
aksai	æ k s æ i
akseli	æ k s e l i
aksjonen	æ k s d͡ʒ ɔ n e n
akt	æ k t
aktiiniyaam	æ k t iː n i j æː m
akufo	æ k u f ɔ
al	æ l
ala	æ l æ
alaabta	æ l æː b t æ
alaalnimo	æ l æː l n i m ɔ
alab	æ l æ b
alabama	æ l æ b æ m æ
alabastar	æ l æ b æ s t æ r
alabka	æ l æ b k æ
alade	æ l æ d e
aladese	æ l æ d e s e
alagha	æ l æ ɡ h æ
alamsay	æ l æ m s æ j
alan	æ l æ n
alanis	æ l æ n i s
alanka	æ l æ n k æ
alao	æ l æ ɔ
alaotra	æ l æ ɔ t r æ
alaska	æ l æ s k æ
alba	æ l b æ
albaab	æ l b æː b
albaabka	æ l b æː b k æ
albaalmarinka	æ l b æː l m æ r i n k æ
albaalmarinta	æ l b æː l m æ r i n t æ
albaani	æ l b æː n i
albaaniya	æ l b æː n i j æ
albanaa	æ l b æ n æː
albania	æ l b æ n i æ
albaniya	æ l b æ n i j æ
albbruck	æ l b b r u ʕ k
albedo	æ l b e d ɔ
albersdorf	æ l b e r s d ɔ r f
albershausen	æ l b e r ʃ æ u s e n
albersweiler	æ l b e r s w e i l e r
albert	æ l b e r t
alberta	æ l b e r t æ
albertine	æ l b e r t i n e
alberto	æ l b e r t ɔ
albertoni	æ l b e r t ɔ n i
albertshofen	æ l b e r t ʃ ɔ f e n
albig	æ l b i ɡ
albisheim	æ l b i ʃ e i m
albosericea	æ l b ɔ s e r i ʕ e æ
albsfelde	æ l b s f e l d e
albstadt	æ l b s t æ d t
album	æ l b u m
albuum	æ l b uː m
alcasaqalaani	æ l ʕ æ s æ q æ l æː n i
alchemist	æ l ʕ h e m i s t
alciz	æ l ʕ i
alden	æ l d e n
aldridge	æ l d r i d ɡ e
ale	æ l e
alegta	æ l e ɡ t æ
alejandro	æ l e d͡ʒ æ n d r ɔ
aleksander	æ l e k s æ n d e r
aleppo	æ l e ɔ
alerheim	æ l e r h e i m
alesheim	æ l e ʃ e i m
alessandra	æ l e s s æ n d r æ
alessi	æ l e s s i
aletshausen	æ l e t ʃ æ u s e n
alex	æ l e ħ
alexa	æ l e ħ æ
alexander	æ l e ħ æ n d e r
alexandre	æ l e ħ æ n d r e
alexandria	æ l e ħ æ n d r i æ
alexis	æ l e ħ i s
alexx	æ l e ħ ħ
alf	æ l f
alfa	æ l f æ
alfaarisi	æ l f æː r i s i
alfdorf	æ l f d ɔ r f
alfeld	æ l f e l d
alfhausen	æ l f h æ u s e n
alflen	æ l f l e n
alfonso	æ l f ɔ n s ɔ
alfradique	æ l f r æ d i q u e
alfred	æ l f r e d
alfredo	æ l f r e d ɔ
alfstedt	æ l f s t e d t
alfter	æ l f t e r
alg	æ l ɡ
algabid	æ l ɡ æ b i d
algeciras	æ l ɡ e ʕ i r æ s
algeria	æ l ɡ e r i æ
algermissen	æ l ɡ e r m i s s e n
alghafaari	æ l ɡ h æ f æː r i
algiers	æ l ɡ i e r s
algoa	æ l ɡ ɔ æ
alguuri	æ l ɡ uː r i
alhano	æ l h æ n ɔ
alhawamdeh	æ l h æ w æ m d e h
alheim	æ l h e i m
ali	æ l i
alia	æ l i æ
alice	æ l i ʕ e
alicia	æ l i ʕ i æ
alifbeet	æ l i f b eː t
alifbeetada	æ l i f b eː t æ d æ
aline	æ l i n e
alinne	æ l i n n e
alisha	æ l i ʃ æ
alix	æ l i ħ
aliyu	æ l i j u
aljabra	æ l d͡ʒ æ b r æ
aljamaal	æ l d͡ʒ æ m æː l
aljazeera	æ l d͡ʒ æ eː r æ
aljaziira	æ l d͡ʒ æ iː r æ
aljebra	æ l d͡ʒ e b r æ
aljeeriya	æ l d͡ʒ eː r i j æ
aljoozi	æ l d͡ʒ ɔː i
alkali	æ l k æ l i
alkaliini	æ l k æ l iː n i
alkalineta	æ l k æ l i n e t æ
alkersleben	æ l k e r s l e b e n
alkersum	æ l k e r s u m
all	æ l l
alla	æ l l æ
allaah	æ l l æː h
allah	æ l l æ h
allamagan	æ l l æ m æ ɡ æ n
allan	æ l l æ n
allaybaday	æ l l æ j b æ d æ j
alle	æ l l e
allen	æ l l e n
allenii	æ l l e n iː
allerley	æ l l e r l e j
alli	æ l l i
alliance	æ l l i æ n ʕ e
allina	æ l l i n æ
allkpop	æ l l k ɔ
allmagan	æ l l m æ ɡ æ n
allred	æ l l r e d
allure	æ l l u r e
almaas	æ l m æː s
almanaag	æ l m æ n æː ɡ
almansuur	æ l m æ n s uː r
almdorf	æ l m d ɔ r f
almeida	æ l m e i d æ
almere	æ l m e r e
almersbach	æ l m e r s b æ ʕ h
almis	æ l m i s
alnuaimi	æ l n u æ i m i
alofi	æ l ɔ f i
alol	æ l ɔ l
alonso	æ l ɔ n s ɔ
alpaca	æ l æ ʕ æ
alpenrod	æ l e n r ɔ d
alper	æ l e r
alperstedt	æ l e r s t e d t
alpha	æ l h æ
alpirsbach	æ l i r s b æ ʕ h
alqardaawi	æ l q æ r d æː w i
alquilar	æ l q u i l æ r
alrashiid	æ l r æ ʃ iː d
alruumi	æ l r uː m i
alsafaax	æ l s æ f æː ħ
alsafar	æ l s æ f æ r
alsahmi	æ l s æ h m i
alsenz	æ l s e n
alshabab	æ l ʃ æ b æ b
alsheim	æ l ʃ e i m
alshureym	æ l ʃ u r e j m
alsidiiq	æ l s i d iː q
alsleben	æ l s l e b e n
alsterdorf	æ l s t e r d ɔ r f
alsudeys	æ l s u d e j s
alswede	æ l s w e d e
alt	æ l t
altaf	æ l t æ f
altai	æ l t æ i
altberg	æ l t b e r ɡ
altd	æ l t d
altef	æ l t e f
alteglofsheim	æ l t e ɡ l ɔ f ʃ e i m
altena	æ l t e n æ
altenahr	æ l t e n æ h r
altenbamberg	æ l t e n b æ m b e r ɡ
altenbeken	æ l t e n b e k e n
altenberga	æ l t e n b e r ɡ æ
altenberge	æ l t e n b e r ɡ e
altenbeuthen	æ l t e n b e u t h e n
altenbuch	æ l t e n b u ʕ h
altendiez	æ l t e n d i e
altengamme	æ l t e n ɡ æ m m e
altenhagen	æ l t e n h æ ɡ e n
altenhausen	æ l t e n h æ u s e n
altenholz	æ l t e n h ɔ l
altenkirchen	æ l t e n k i r ʕ h e n
altenkrempe	æ l t e n k r e m e
altenkunstadt	æ l t e n k u n s t æ d t
altenm	æ l t e n m
altenmedingen	æ l t e n m e d i n ɡ e n
altenmoor	æ l t e n m ɔː r
altenpleen	æ l t e n l eː n
altensteig	æ l t e n s t e i ɡ
altenthann	æ l t e n t h æ n n
altentreptow	æ l t e n t r e t ɔ w
altenwalde	æ l t e n w æ l d e
altenwerder	æ l t e n w e r d e r
alterk	æ l t e r k
altertheim	æ l t e r t h e i m
altfraunhofen	æ l t f r æ u n h ɔ f e n
altglienicke	æ l t ɡ l i e n i ʕ k e
alth	æ l t h
althegnenberg	æ l t h e ɡ n e n b e r ɡ
althengstett	æ l t h e n ɡ s t e t t
althornbach	æ l t h ɔ r n b æ ʕ h
altkalen	æ l t k æ l e n
altlandsberg	æ l t l æ n d s b e r ɡ
altlay	æ l t l æ j
altleiningen	æ l t l e i n i n ɡ e n
altmannstein	æ l t m æ n n s t e i n
altmittweida	æ l t m i t t w e i d æ
altom	æ l t ɔ m
altona	æ l t ɔ n æ
altrich	æ l t r i ʕ h
altrip	æ l t r i
altscheid	æ l t s ʕ h e i d
altshausen	æ l t ʃ æ u s e n
altstrimmig	æ l t s t r i m m i ɡ
altusried	æ l t u s r i e d
altwarp	æ l t w æ r
altweidelbach	æ l t w e i d e l b æ ʕ h
altwigshagen	æ l t w i ɡ ʃ æ ɡ e n
alumiiniyaam	æ l u m iː n i j æː m
aluminium	æ l u m i n i u m
alvan	æ l æ n
alvark	æ l æ r k
alves	æ l e s
alveslohe	æ l e s l ɔ h e
alwaasiq	æ l w æː s i q
alwaax	æ l w æː ħ
alwanni	æ l w æ n n i
alxakiim	æ l ħ æ k iː m
alxasaurus	æ l ħ æ s æ u r u s
aly	æ l j
alya	æ l j æ
alyasac	æ l j æ s æ ʕ
alyona	æ l j ɔ n æ
am	æ m
ama	æ m æ
amaal	æ m æː l
amaanreer	æ m æː n r eː r
amaasiya	æ m æː s i j æ
amadeyo	æ m æ d e j ɔ
amaki	æ m æ k i
amama	æ m æ m æ
amanda	æ m æ n d æ
amanuel	æ m æ n u e l
amar	æ m æ r
amarachi	æ m æ r æ ʕ h i
amarada	æ m æ r æ d æ
amaramba	æ m æ r æ m b æ
amarka	æ m æ r k æ
amato	æ m æ t ɔ
amatoritsero	æ m æ t ɔ r i t s e r ɔ
amawi	æ m æ w i
amazighiga	æ m æ i ɡ h i ɡ æ
amazon	æ m æ ɔ n
amazonica	æ m æ ɔ n i ʕ æ
ambadi	æ m b æ d i
ambalat	æ m b æ l æ t
ambale	æ m b æ l e
ambar	æ m b æ r
ambedkar	æ m b e d k æ r
ambeer	æ m b eː r
amber	æ m b e r
amblo	æ m b l ɔ
ambo	æ m b ɔ
ambonese	æ m b ɔ n e s e
ambrosio	æ m b r ɔ s i ɔ
ambussel	æ m b u s s e l
amc	æ m ʕ
amedeo	æ m e d e ɔ
ameerika	æ m eː r i k æ
ameerikaanka	æ m eː r i k æː n k æ
ameerikada	æ m eː r i k æ d æ
ameerikan	æ m eː r i k æ n
ameerkikada	æ m eː r k i k æ d æ
amelia	æ m e l i æ
amelio	æ m e l i ɔ
amen	æ m e n
amerang	æ m e r æ n ɡ
amerdingen	æ m e r d i n ɡ e n
america	æ m e r i ʕ æ
american	æ m e r i ʕ æ n
amerika	æ m e r i k æ
amharic	æ m h æ r i ʕ
amiibada	æ m iː b æ d æ
amiin	æ m iː n
amiir	æ m iː r
amin	æ m i n
amina	æ m i n æ
aminu	æ m i n u
amir	æ m i r
amira	æ m i r æ
amirul	æ m i r u l
amisom	æ m i s ɔ m
amistardam	æ m i s t æ r d æ m
amjad	æ m d͡ʒ æ d
aml	æ m l
ammaanka	æ m m æː n k æ
ammonium	æ m m ɔ n i u m
ammu	æ m m u
amnat	æ m n æ t
amniga	æ m n i ɡ æ
amob	æ m ɔ b
amoena	æ m ɔ e n æ
among	æ m ɔ n ɡ
amorbach	æ m ɔ r b æ ʕ h
amore	æ m ɔ r e
ampere	æ m e r e
ampfing	æ m f i n ɡ
amritsar	æ m r i t s æ r
amsterdam	æ m s t e r d æ m
amt	æ m t
amtsberg	æ m t s b e r ɡ
amtzell	æ m t e l l
amun	æ m u n
amundsen	æ m u n d s e n
amurit	æ m u r i t
amusa	æ m u s æ
amusan	æ m u s æ n
amuuriga	æ m uː r i ɡ æ
amxaar	æ m ħ æː r
amxaari	æ m ħ æː r i
amxaaro	æ m ħ æː r ɔ
amy	æ m j
an	æ n
ana	æ n æ
anaadool	æ n æː d ɔː l
anaashiidka	æ n æː ʃ iː d k æ
anakana	æ n æ k æ n æ
anangwe	æ n æ n ɡ w e
ananias	æ n æ n i æ s
ananya	æ n æ n j æ
anas	æ n æ s
anastacia	æ n æ s t æ ʕ i æ
anatooliya	æ n æ t ɔː l i j æ
anatsui	æ n æ t s u i
anayo	æ n æ j ɔ
anbesa	æ n b e s æ
anchal	æ n ʕ h æ l
and	æ n d
andaakiya	æ n d æː k i j æ
andalus	æ n d æ l u s
andechs	æ n d e ʕ h s
andenne	æ n d e n n e
anderson	æ n d e r s ɔ n
andersson	æ n d e r s s ɔ n
andes	æ n d e s
andini	æ n d i n i
