aa	a a
adeniran	a d̪̤ e n i r a n
adenium	a d̪̤ e n i u m
adenosin	a d̪̤ e n o s i n
adenosina	a d̪̤ e n o s i n a
adeodatus	a d̪̤ e o d̪̤ a t u s
adera	a d̪̤ e r a
adewale	a d̪̤ e w a l e
adhang	a ɖ̤ a ŋ
adhaptasi	a ɖ̤ a p t a s i
adhedhasar	a ɖ̤ e ɖ̤ a s a r
adhep	a ɖ̤ e p
adhepan	a ɖ̤ e p a n
adhi	a ɖ̤ i
adhipat	a ɖ̤ i p a t
adhirasam	a ɖ̤ i r a s a m
adhiswara	a ɖ̤ i s w a r a
adhonan	a ɖ̤ o n a n
adhyaksa	a ɖ̤ j a k s a
adi	a d̪̤ i
adiak	a d̪̤ i a k
adiankoting	a d̪̤ i a n k o t i ŋ
adiarsa	a d̪̤ i a r s a
adibusana	a d̪̤ i b̤ u s a n a
adidas	a d̪̤ i d̪̤ a s
adidharma	a d̪̤ i ɖ̤ a r m a
adien	a d̪̤ i e n
adigang	a d̪̤ i ɡ̤ a ŋ
adiguna	a d̪̤ i ɡ̤ u n a
adigung	a d̪̤ i ɡ̤ u ŋ
adikarsa	a d̪̤ i k a r s a
adikarso	a d̪̤ i k a r s o
adikarta	a d̪̤ i k a r t a
adikarto	a d̪̤ i k a r t o
adil	a d̪̤ i l
adiluhur	a d̪̤ i l u h u r
adimanggala	a d̪̤ i m a ŋ ɡ̤ a l a
adimulya	a d̪̤ i m u l j a
adimulyo	a d̪̤ i m u l j o
adinda	a d̪̤ i n d̪̤ a
adinegoro	a d̪̤ i n e ɡ̤ o r o
adinia	a d̪̤ i n i a
adinusa	a d̪̤ i n u s a
adinuso	a d̪̤ i n u s o
adipala	a d̪̤ i p a l a
adiparwa	a d̪̤ i p a r w a
adipasir	a d̪̤ i p a s i r
adipat	a d̪̤ i p a t
adipati	a d̪̤ i p a t i
adiprana	a d̪̤ i p r a n a
adipura	a d̪̤ i p u r a
adipurna	a d̪̤ i p u r n a
adiraja	a d̪̤ i r a d͡ʒ̤ a
adirata	a d̪̤ i r a t a
adireja	a d̪̤ i r e d͡ʒ̤ a
adirejo	a d̪̤ i r e d͡ʒ̤ o
adisana	a d̪̤ i s a n a
adisara	a d̪̤ i s a r a
adisoetjipto	a d̪̤ i s o e t d͡ʒ̤ i p t o
adisucipto	a d̪̤ i s u t͡ʃ i p t o
adisutjipto	a d̪̤ i s u t d͡ʒ̤ i p t o
adit	a d̪̤ i t
adita	a d̪̤ i t a
aditi	a d̪̤ i t i
aditirta	a d̪̤ i t i r t a
aditirto	a d̪̤ i t i r t o
aditya	a d̪̤ i t j a
adityaketu	a d̪̤ i t j a k e t u
adityawarman	a d̪̤ i t j a w a r m a n
adiwarna	a d̪̤ i w a r n a
adiwarno	a d̪̤ i w a r n o
adiwerna	a d̪̤ i w e r n a
adiwira	a d̪̤ i w i r a
adixi	a d̪̤ i ks i
adjas	a d̪̤ d͡ʒ̤ a s
adjie	a d̪̤ d͡ʒ̤ i e
adkins	a d̪̤ k i n s
adl	a d̪̤ l
adlam	a d̪̤ l a m
adler	a d̪̤ l e r
adliswil	a d̪̤ l i s w i l
adly	a d̪̤ l j
adman	a d̪̤ m a n
admetos	a d̪̤ m e t o s
administrasi	a d̪̤ m i n i s t r a s i
admixture	a d̪̤ m i ks t u r e
adnan	a d̪̤ n a n
ado	a d̪̤ o
adobada	a d̪̤ o b̤ a d̪̤ a
adobe	a d̪̤ o b̤ e
adobo	a d̪̤ o b̤ o
adoh	a d̪̤ o h
adolf	a d̪̤ o l f
adolfo	a d̪̤ o l f o
adolphe	a d̪̤ o l p h e
adolphus	a d̪̤ o l p h u s
adonara	a d̪̤ o n a r a
adopsi	a d̪̤ o p s i
adopted	a d̪̤ o p t e d̪̤
adrem	a d̪̤ r e m
adri	a d̪̤ r i
adriaan	a d̪̤ r i a a n
adrian	a d̪̤ r i a n
adriano	a d̪̤ r i a n o
adrianus	a d̪̤ r i a n u s
adriatica	a d̪̤ r i a t i t͡ʃ a
adriatik	a d̪̤ r i a t i k
adrien	a d̪̤ r i e n
adrienne	a d̪̤ r i e n n e
adshead	a d̪̤ s h e a d̪̤
adu	a d̪̤ u
adul	a d̪̤ u l
adult	a d̪̤ u l t
adulyadej	a d̪̤ u l j a d̪̤ e d͡ʒ̤
adunni	a d̪̤ u n n i
adus	a d̪̤ u s
advance	a d̪̤ v a n t͡ʃ e
adven	a d̪̤ v e n
advent	a d̪̤ v e n t
adventure	a d̪̤ v e n t u r e
advocaat	a d̪̤ v o t͡ʃ a a t
adwayasastra	a d̪̤ w a j a s a s t r a
adzan	a d̪̤ z a n
ae	a e
aedes	a e d̪̤ e s
aegea	a e ɡ̤ e a
aegean	a e ɡ̤ e a n
aegukga	a e ɡ̤ u k ɡ̤ a
aegukka	a e ɡ̤ u k k a
aegypty	a e ɡ̤ j p t j
aek	a e k
aelurodon	a e l u r o d̪̤ o n
aeng	a e ŋ
aenganyar	a e ŋ a ɲ a r
aengbaja	a e ŋ b̤ a d͡ʒ̤ a
aengdake	a e ŋ d̪̤ a k e
aengmerah	a e ŋ m e r a h
aengsareh	a e ŋ s a r e h
aengtabar	a e ŋ t a b̤ a r
aengtongtong	a e ŋ t o ŋ t o ŋ
aepycamelus	a e p j t͡ʃ a m e l u s
aeque	a e q u e
aer	a e r
aerolineas	a e r o l i n e a s
aerologi	a e r o l o ɡ̤ i
aerom	a e r o m
aeromexico	a e r o m e ks i t͡ʃ o
aeromodelling	a e r o m o d̪̤ e l l i ŋ
aerosmith	a e r o s m i ʈ
aeruginosa	a e r u ɡ̤ i n o s a
aesesa	a e s e s a
aetiosetus	a e t i o s e t u s
af	a f
afaratu	a f a r a t u
afelia	a f e l i a
affandi	a f f a n d̪̤ i
affile	a f f i l e
affluenza	a f f l u e n z a
affogato	a f f o ɡ̤ a t o
afganistan	a f ɡ̤ a n i s t a n
afgansyah	a f ɡ̤ a n s j a h
afghan	a f ɡ̤ h a n
afghanistan	a f ɡ̤ h a n i s t a n
afifa	a f i f a
afiks	a f i k s
afj	a f d͡ʒ̤
afonso	a f o n s o
africo	a f r i t͡ʃ o
afrika	a f r i k a
afrikaans	a f r i k a a n s
afritada	a f r i t a d̪̤ a
afrizal	a f r i z a l
afro	a f r o
afrodhisiak	a f r o ɖ̤ i s i a k
afrodhit	a f r o ɖ̤ i t
afrodit	a f r o d̪̤ i t
after	a f t e r
aftermath	a f t e r m a ʈ
aftershine	a f t e r s h i n e
afulu	a f u l u
ag	a ɡ̤
agag	a ɡ̤ a ɡ̤
again	a ɡ̤ a i n
agam	a ɡ̤ a m
agama	a ɡ̤ a m a
agami	a ɡ̤ a m i
agapetus	a ɡ̤ a p e t u s
agapornis	a ɡ̤ a p o r n i s
agassi	a ɡ̤ a s s i
agastyaparwa	a ɡ̤ a s t j a p a r w a
agata	a ɡ̤ a t a
agatha	a ɡ̤ a ʈ a
agats	a ɡ̤ a t s
agbaje	a ɡ̤ b̤ a d͡ʒ̤ e
agbontohoma	a ɡ̤ b̤ o n t o h o m a
agdam	a ɡ̤ d̪̤ a m
agder	a ɡ̤ d̪̤ e r
agedashi	a ɡ̤ e d̪̤ a s h i
ageman	a ɡ̤ e m a n
ageming	a ɡ̤ e m i ŋ
agen	a ɡ̤ e n
agency	a ɡ̤ e n t͡ʃ j
ageng	a ɡ̤ e ŋ
agents	a ɡ̤ e n t s
ager	a ɡ̤ e r
agesang	a ɡ̤ e s a ŋ
agimuga	a ɡ̤ i m u ɡ̤ a
agisiga	a ɡ̤ i s i ɡ̤ a
agle	a ɡ̤ l e
agliata	a ɡ̤ l i a t a
aglik	a ɡ̤ l i k
agnatha	a ɡ̤ n a ʈ a
agnes	a ɡ̤ n e s
agni	a ɡ̤ n i
agnipraba	a ɡ̤ n i p r a b̤ a
agnolotti	a ɡ̤ n o l o t t i
agnostisisme	a ɡ̤ n o s t i s i s m e
agnyanawati	a ɡ̤ ɲ a n a w a t i
agoes	a ɡ̤ o e s
agora	a ɡ̤ o r a
agr	a ɡ̤ r
agra	a ɡ̤ r a
agrabinta	a ɡ̤ r a b̤ i n t a
agrigento	a ɡ̤ r i ɡ̤ e n t o
agriocnemis	a ɡ̤ r i o t͡ʃ n e m i s
agrippa	a ɡ̤ r i p p a
agris	a ɡ̤ r i s
agronomi	a ɡ̤ r o n o m i
agropolitan	a ɡ̤ r o p o l i t a n
agrowisata	a ɡ̤ r o w i s a t a
ags	a ɡ̤ s
agt	a ɡ̤ t
aguapanela	a ɡ̤ u a p a n e l a
aguardiente	a ɡ̤ u a r d̪̤ i e n t e
aguilera	a ɡ̤ u i l e r a
agum	a ɡ̤ u m
agung	a ɡ̤ u ŋ
agungmulyo	a ɡ̤ u ŋ m u l j o
agus	a ɡ̤ u s
agustadi	a ɡ̤ u s t a d̪̤ i
agustina	a ɡ̤ u s t i n a
agustine	a ɡ̤ u s t i n e
agustinus	a ɡ̤ u s t i n u s
agustus	a ɡ̤ u s t u s
agwi	a ɡ̤ w i
agyei	a ɡ̤ j e i
ah	a h
ahad	a h a d̪̤
ahed	a h e d̪̤
ahilawati	a h i l a w a t i
ahle	a h l e
ahli	a h l i
ahlul	a h l u l
ahmad	a h m a d̪̤
ahmadinezhad	a h m a d̪̤ i n e z h a d̪̤
ahmadiyyah	a h m a d̪̤ i j j a h
ahmadun	a h m a d̪̤ u n
ahmed	a h m e d̪̤
ahmet	a h m e t
ahn	a h n
ahok	a h o k
ahom	a h o m
ahool	a h o o l
ai	a i
aia	a i a
aias	a i a s
aichi	a i t͡ʃ h i
aida	a i d̪̤ a
aidan	a i d̪̤ a n
aided	a i d̪̤ e d̪̤
aiden	a i d̪̤ e n
aidilfitri	a i d̪̤ i l f i t r i
aidit	a i d̪̤ i t
aids	a i d̪̤ s
aidyn	a i d̪̤ j n
aiello	a i e l l o
aifat	a i f a t
aikan	a i k a n
aikmel	a i k m e l
aiko	a i k o
ailano	a i l a n o
aileen	a i l e e n
aimas	a i m a s
aimbetov	a i m b̤ e t o v
aimere	a i m e r e
ain	a i n
aing	a i ŋ
ainley	a i n l e j
aino	a i n o
ainokaze	a i n o k a z e
ainol	a i n o l
aioli	a i o l i
air	a i r
airawata	a i r a w a t a
airbrush	a i r b̤ r u s h
airbus	a i r b̤ u s
aires	a i r e s
airlangga	a i r l a ŋ ɡ̤ a
airlines	a i r l i n e s
airmadidi	a i r m a d̪̤ i d̪̤ i
airola	a i r o l a
airport	a i r p o r t
airu	a i r u
airwaves	a i r w a v e s
airways	a i r w a j s
aise	a i s e
aishwarya	a i s h w a r j a
aisjah	a i s d͡ʒ̤ a h
aisne	a i s n e
aisyah	a i s j a h
aitakatta	a i t a k a t t a
aitinyo	a i t i ɲ o
aitv	a i t v
aiwo	a i w o
aiwowo	a i w o w o
aiyu	a i j u
aj	a d͡ʒ̤
aja	a d͡ʒ̤ a
ajab	a d͡ʒ̤ a b̤
ajala	a d͡ʒ̤ a l a
ajangal	a d͡ʒ̤ a ŋ a l
ajangale	a d͡ʒ̤ a ŋ a l e
ajaran	a d͡ʒ̤ a r a n
ajaria	a d͡ʒ̤ a r i a
ajax	a d͡ʒ̤ a ks
ajdovi	a d͡ʒ̤ d̪̤ o v i
ajeg	a d͡ʒ̤ e ɡ̤
ajeng	a d͡ʒ̤ e ŋ
aji	a d͡ʒ̤ i
ajiaco	a d͡ʒ̤ i a t͡ʃ o
ajibarang	a d͡ʒ̤ i b̤ a r a ŋ
ajibata	a d͡ʒ̤ i b̤ a t a
ajika	a d͡ʒ̤ i k a
ajilim	a d͡ʒ̤ i l i m
ajillo	a d͡ʒ̤ i l l o
ajining	a d͡ʒ̤ i n i ŋ
ajip	a d͡ʒ̤ i p
ajisaka	a d͡ʒ̤ i s a k a
ajmal	a d͡ʒ̤ m a l
ajuh	a d͡ʒ̤ u h
ajung	a d͡ʒ̤ u ŋ
ajur	a d͡ʒ̤ u r
ajvar	a d͡ʒ̤ v a r
ak	a k
akademi	a k a d̪̤ e m i
akademik	a k a d̪̤ e m i k
akadhemi	a k a ɖ̤ e m i
akah	a k a h
akampana	a k a m p a n a
akan	a k a n
akar	a k a r
akara	a k a r a
akashiyaki	a k a s h i j a k i
akat	a k a t
akb	a k b̤
akbar	a k b̤ a r
akehurst	a k e h u r s t
akershus	a k e r s h u s
akh	a k h
akhadi	a k h a d̪̤ i
akhdiyat	a k h d̪̤ i j a t
akhedya	a k h e d̪̤ j a
akheron	a k h e r o n
akhil	a k h i l
akhir	a k h i r
akhni	a k h n i
akhsin	a k h s i n
aki	a k i
akibat	a k i b̤ a t
akihiko	a k i h i k o
akihisa	a k i h i s a
akihito	a k i h i t o
akiho	a k i h o
akin	a k i n
akinfenwa	a k i n f e n w a
akinnuoye	a k i n n u o j e
akio	a k i o
akir	a k i r
akit	a k i t
akita	a k i t a
akkadia	a k k a d̪̤ i a
akkarfjord	a k k a r f d͡ʒ̤ o r d̪̤
akkawi	a k k a w i
akkor	a k k o r
akland	a k l a n d̪̤
akmal	a k m a l
akpl	a k p l
akpom	a k p o m
akri	a k r i
akrofiseter	a k r o f i s e t e r
akrotiri	a k r o t i r i
aks	a k s
aksara	a k s a r a
aksayakumara	a k s a j a k u m a r a
aksdal	a k s d̪̤ a l
aksen	a k s e n
akson	a k s o n
aktin	a k t i n
aktinida	a k t i n i d̪̤ a
aktinium	a k t i n i u m
aktiva	a k t i v a
aktor	a k t o r
aktris	a k t r i s
aktuator	a k t u a t o r
aktuil	a k t u i l
aku	a k u
akuarium	a k u a r i u m
akulturasi	a k u l t u r a s i
akung	a k u ŋ
akuntan	a k u n t a n
akupunktur	a k u p u n k t u r
akut	a k u t
akvavit	a k v a v i t
akyra	a k j r a
al	a l
ala	a l a
alaba	a l a b̤ a
alabama	a l a b̤ a m a
aladdin	a l a d̪̤ d̪̤ i n
aladin	a l a d̪̤ i n
alai	a l a i
alain	a l a i n
alak	a l a k
alakathak	a l a k a ʈ a k
alalak	a l a l a k
alam	a l a m
alamat	a l a m a t
alambr	a l a m b̤ r
alami	a l a m i
alan	a l a n
alang	a l a ŋ
alangalang	a l a ŋ a l a ŋ
alangamba	a l a ŋ a m b̤ a
alap	a l a p
alas	a l a s
alasa	a l a s a
alasamba	a l a s a m b̤ a
alasangker	a l a s a ŋ k e r
alasbulu	a l a s b̤ u l u
alasdawa	a l a s d̪̤ a w a
alasdowo	a l a s d̪̤ o w o
alasgung	a l a s ɡ̤ u ŋ
alaska	a l a s k a
alaskembang	a l a s k e m b̤ a ŋ
alaskokon	a l a s k o k o n
alasmalang	a l a s m a l a ŋ
alasraja	a l a s r a d͡ʒ̤ a
alasreja	a l a s r e d͡ʒ̤ a
alassumur	a l a s s u m u r
alastair	a l a s t a i r
alastuwa	a l a s t u w a
alastuwo	a l a s t u w o
alat	a l a t
alatas	a l a t a s
alazraqui	a l a z r a q u i
alba	a l b̤ a
albacete	a l b̤ a t͡ʃ e t e
albaloo	a l b̤ a l o o
alban	a l b̤ a n
albani	a l b̤ a n i
albania	a l b̤ a n i a
albar	a l b̤ a r
albara	a l b̤ a r a
albatros	a l b̤ a t r o s
alben	a l b̤ e n
albers	a l b̤ e r s
albert	a l b̤ e r t
alberta	a l b̤ e r t a
alberthiene	a l b̤ e r ʈ i e n e
albertini	a l b̤ e r t i n i
alberto	a l b̤ e r t o
albertosaurus	a l b̤ e r t o s a u r u s
albertus	a l b̤ e r t u s
albi	a l b̤ i
albie	a l b̤ i e
albino	a l b̤ i n o
alblasserdam	a l b̤ l a s s e r d̪̤ a m
albor	a l b̤ o r
albrandswaard	a l b̤ r a n d̪̤ s w a a r d̪̤
albrecht	a l b̤ r e t͡ʃ h t
albright	a l b̤ r i ɡ̤ h t
album	a l b̤ u m
albumin	a l b̤ u m i n
albuquerque	a l b̤ u q u e r q u e
albury	a l b̤ u r j
albus	a l b̤ u s
alcapurria	a l t͡ʃ a p u r r i a
alcatel	a l t͡ʃ a t e l
alcatraz	a l t͡ʃ a t r a z
alchemical	a l t͡ʃ h e m i t͡ʃ a l
alcide	a l t͡ʃ i d̪̤ e
alcuin	a l t͡ʃ u i n
alda	a l d̪̤ a
aldebaran	a l d̪̤ e b̤ a r a n
alderney	a l d̪̤ e r n e j
aldi	a l d̪̤ i
aldiansyah	a l d̪̤ i a n s j a h
aldo	a l d̪̤ o
aldolase	a l d̪̤ o l a s e
aldosteron	a l d̪̤ o s t e r o n
aldra	a l d̪̤ r a
aleix	a l e i ks
aleksander	a l e k s a n d̪̤ e r
aleksandr	a l e k s a n d̪̤ r
aleksandrovich	a l e k s a n d̪̤ r o v i t͡ʃ h
aleksandrow	a l e k s a n d̪̤ r o w
aleksei	a l e k s e i
alel	a l e l
alelopati	a l e l o p a t i
alembert	a l e m b̤ e r t
alembon	a l e m b̤ o n
alen	a l e n
alena	a l e n a
alengka	a l e ŋ k a
alentejana	a l e n t e d͡ʒ̤ a n a
aleppo	a l e p p o
alergen	a l e r ɡ̤ e n
alergi	a l e r ɡ̤ i
alessandra	a l e s s a n d̪̤ r a
alessandro	a l e s s a n d̪̤ r o
alex	a l e ks
alexander	a l e ks a n d̪̤ e r
alexandra	a l e ks a n d̪̤ r a
alexandre	a l e ks a n d̪̤ r e
alexandria	a l e ks a n d̪̤ r i a
alexandrina	a l e ks a n d̪̤ r i n a
alexis	a l e ks i s
alexius	a l e ks i u s
alf	a l f
alfab	a l f a b̤
alfabet	a l f a b̤ e t
alfajor	a l f a d͡ʒ̤ o r
alfandriansyah	a l f a n d̪̤ r i a n s j a h
alfaro	a l f a r o
alfe	a l f e
alfian	a l f i a n
alfiansyah	a l f i a n s j a h
alfie	a l f i e
alfonso	a l f o n s o
alfonsus	a l f o n s u s
alfred	a l f r e d̪̤
alg	a l ɡ̤
alga	a l ɡ̤ a
algae	a l ɡ̤ a e
algarheim	a l ɡ̤ a r h e i m
algeria	a l ɡ̤ e r i a
algerie	a l ɡ̤ e r i e
alghozali	a l ɡ̤ h o z a l i
algiers	a l ɡ̤ i e r s
alginat	a l ɡ̤ i n a t
algir	a l ɡ̤ i r
algoritma	a l ɡ̤ o r i t m a
algozhali	a l ɡ̤ o z h a l i
algr	a l ɡ̤ r
alheira	a l h e i r a
ali	a l i
alian	a l i a n
aliansi	a l i a n s i
alib	a l i b̤
alice	a l i t͡ʃ e
alici	a l i t͡ʃ i
alicia	a l i t͡ʃ i a
aliens	a l i e n s
alif	a l i f
alifian	a l i f i a n
aligator	a l i ɡ̤ a t o r
alighieri	a l i ɡ̤ h i e r i
aligot	a l i ɡ̤ o t
alih	a l i h
alihaksara	a l i h a k s a r a
alik	a l i k
alimin	a l i m i n
alimukim	a l i m u k i m
alina	a l i n a
alinazik	a l i n a z i k
aline	a l i n e
aliran	a l i r a n
alis	a l i s
alisjahbana	a l i s d͡ʒ̤ a h b̤ a n a
alisson	a l i s s o n
alit	a l i t
aliterasi	a l i t e r a s i
aliv	a l i v
aliyan	a l i j a n
aliz	a l i z
aljabar	a l d͡ʒ̤ a b̤ a r
aljazair	a l d͡ʒ̤ a z a i r
aljir	a l d͡ʒ̤ i r
alkali	a l k a l i
alkaloid	a l k a l o i d̪̤
alkana	a l k a n a
alkemade	a l k e m a d̪̤ e
alkimia	a l k i m i a
alkimiya	a l k i m i j a
alkitab	a l k i t a b̤
alkmaar	a l k m a a r
alkmene	a l k m e n e
alkohol	a l k o h o l
alkoholisme	a l k o h o l i s m e
alkuin	a l k u i n
alkuna	a l k u n a
all	a l l
alla	a l l a
allah	a l l a h
allahu	a l l a h u
allamanda	a l l a m a n d̪̤ a
allan	a l l a n
alle	a l l e
allegiant	a l l e ɡ̤ i a n t
allen	a l l e n
allerheiligenstriezel	a l l e r h e i l i ɡ̤ e n s t r i e z e l
alles	a l l e s
alli	a l l i
alliaceae	a l l i a t͡ʃ e a e
allianz	a l l i a n z
allie	a l l i e
allier	a l l i e r
allium	a l l i u m
allmenningen	a l l m e n n i ŋ e n
allmovie	a l l m o v i e
