bondɛki	b o n d ɛ k i
mokɔngɔ	m o k ɔ ŋ g ɔ
ngɔngɔ	ŋ g ɔ ŋ g ɔ
ndɛkɛ	n d ɛ k ɛ
mbɛlɛ	m b ɛ l ɛ
nzɛlɛ	n z ɛ l ɛ
elɔngɔ	e l ɔ ŋ g ɔ
koloba	k o l o b a
kosala	k o s a l a
kokoma	k o k o m a
kotanga	k o t a ŋ g a
kolanda	k o l a n d a
kobima	k o b i m a
kokota	k o k o t a
kozwa	k o z w a
kobuya	k o b u j a
kolya	k o l j a
komela	k o m e l a
kobunda	k o b u n d a
kokata	k o k a t a
koleka	k o l e k a
kosimba	k o s i m b a
kokanga	k o k a ŋ g a
koluka	k o l u k a
kobina	k o b i n a
kokanisa	k o k a n i s a
kosakola	k o s a k o l a
kopesa	k o p e s a
kozia	k o z i a
kolanda	k o l a n d a
kosepela	k o s e p e l a
kolala	k o l a l a
kotambola	k o t a m b o l a
koseka	k o s e k a
kokimba	k o k i m b a
koswana	k o s w a n a
kokangama	k o k a ŋ g a m a
kolonga	k o l o ŋ g a
kobanga	k o b a ŋ g a
kobima	k o b i m a
kotika	k o t i k a
kofuta	k o f u t a
kozala	k o z a l a
koyeba	k o j e b a
kobosana	k o b o s a n a
mobimba	m o b i m b a
lokuta	l o k u t a
solo	s o l o
sango	s a ŋ g o
ndeko	n d e k o
ndenge	n d e ŋ g e
nkolo	n k o l o
nkota	n k o t a
mama	m a m a
papa	p a p a
tata	t a t a
ndeko	n d e k o
nkulutu	n k u l u t u
yaya	j a j a
mokonzi	m o k o n z i
bokonzi	b o k o n z i
mabele	m a b e l e
mutu	m u t u
mutu	m u t u
minu	m i n u
dɛlɔ	d ɛ l ɔ
ekolo	e k o l o
nkasa	n k a s a
mpiko	m p i k o
ndule	n d u l e
mboka	m b o k a
ngando	ŋ g a n d o
nguba	ŋ g u b a
nzungu	n z u ŋ g u
nzamba	n z a m b a
nzete	n z e t e
mbula	m b u l a
mbu	m b u
mpama	m p a m a
mpunda	m p u n d a
ntaba	n t a b a
ntongo	n t o ŋ g o
nta	n t a
nkisi	n k i s i
nkembo	n k e m b o
nkeka	n k e k a
moko	m o k o
mibale	m i b a l e
misato	m i s a t o
minei	m i n e i
mitano	m i t a n o
motoba	m o t o b a
sambo	s a m b o
mwambe	m w a m b e
libwa	l i b w a
zomi	z o m i
tuku moko	t u k u m o k o
nkoto	n k o t o
sanza	s a n z a
mokolo	m o k o l o
mbula	m b u l a
lelo	l e l o
lobi	l o b i
kebi	k e b i
suka	s u k a
liboso	l i b o s o
nsima	n s i m a
kati	k a t i
kala	k a l a
sima	s i m a
wuta	w u t a
tii	t i i
banda	b a n d a
noki	n o k i
liwa	l i w a
kufa	k u f a
kobika	k o b i k a
bomoi	b o m o i
likalaka	l i k a l a k a
monganga	m o ŋ g a ŋ g a
monganga wa miso	m o ŋ g a ŋ g a w a m i s o
mobali	m o b a l i
mwasi	m w a s i
mwana mobali	m w a n a m o b a l i
mwana mwasi	m w a n a m w a s i
kokende	k o k e n d e
koya	k o j a
mpe	m p e
soki te	s o k i t e
nzokande	n z o k a n d e
kasi	k a s i
kansi	k a n s i
boye	b o j e
boye te	b o j e t e
ɛɛ	ɛ ɛ
amɛn	a m ɛ n
elikya	e l i k j a
tosi	t o s i
esangeli	e s a ŋ g e l i
bondeko	b o n d e k o
boyokani	b o j o k a n i
bolamu	b o l a m u
boboto	b o b o t o
nkembo	n k e m b o
motuya	m o t u j a
bosembo	b o s e m b o
bolingo	b o l i ŋ g o
boyengebene	b o j e ŋ g e b e n e
bondeli	b o n d e l i
lisapo	l i s a p o
liyano	l i j a n o
liloba	l i l o b a
losambo	l o s a m b o
lobiko	l o b i k o
elaka	e l a k a
mobu	m o b u
mbula ya moi	m b u l a j a m o i
mbula ya mvula	m b u l a j a m v u l a
mosɛki	m o s ɛ k i
bilei	b i l e i
bibaya	b i b a j a
malamu	m a l a m u
mabe	m a b e
kitoko	k i t o k o
elengi	e l e ŋ g i
molayi	m o l a j i
moke	m o k e
monene	m o n e n e
ya kala	j a k a l a
ya sika	j a s i k a
ya solo	j a s o l o
ya lokuta	j a l o k u t a
ya bolamu	j a b o l a m u
ya mabe	j a m a b e
ya kitoko	j a k i t o k o
nzɔnzɔ	n z ɔ n z ɔ
pɔlɛ	p ɔ l ɛ
bɔkɛlɛ	b ɔ k ɛ l ɛ
lɛlɛ	l ɛ l ɛ
fɛlɛ	f ɛ l ɛ
mɛkɔ	m ɛ k ɔ
tɛtɛ	t ɛ t ɛ
kɔtɛ	k ɔ t ɛ
bɛtɛ	b ɛ t ɛ
nɛnɛ	n ɛ n ɛ
pɛpɛ	p ɛ p ɛ
sɛsɛ	s ɛ s ɛ
zɛzɛ	z ɛ z ɛ
lɛkɛ	l ɛ k ɛ
tɔtɔ	t ɔ t ɔ
kɔkɔ	k ɔ k ɔ
fɔfɔ	f ɔ f ɔ
vɔvɔ	v ɔ v ɔ
wɔwɔ	w ɔ w ɔ
ndɔndɔ	n d ɔ n d ɔ
mbɔmbɔ	m b ɔ m b ɔ
ngɔngɔ	ŋ g ɔ ŋ g ɔ
nzɔlɔ	n z ɔ l ɔ
ntɔkɔ	n t ɔ k ɔ
nkɔkɔ	n k ɔ k ɔ
mpɔlɔ	m p ɔ l ɔ
mbala	m b a l a
mbanda	m b a n d a
mbango	m b a ŋ g o
mbeka	m b e k a
mbeleli	m b e l e l i
mbeni	m b e n i
mbenga	m b e ŋ g a
mboloko	m b o l o k o
mbongo	m b o ŋ g o
mbu	m b u
mbuma	m b u m a
ndako	n d a k o
ndambo	n d a m b o
ndele	n d e l e
ndelo	n d e l o
ndevu	n d e v u
ndimo	n d i m o
ndole	n d o l e
ndulu	n d u l u
ngai	ŋ g a i
ngando	ŋ g a n d o
ngele	ŋ g e l e
ngili	ŋ g i l i
ngolo	ŋ g o l o
nguba	ŋ g u b a
nzala	n z a l a
nzela	n z e l a
nzete	n z e t e
nzimu	n z i m u
nzobe	n z o b e
nzungu	n z u ŋ g u
mpaka	m p a k a
mpiko	m p i k o
mposa	m p o s a
mpunda	m p u n d a
ntaba	n t a b a
ntango	n t a ŋ g o
ntei	n t e i
ntika	n t i k a
ntolo	n t o l o
ntuku	n t u k u
nkasa	n k a s a
nkeke	n k e k e
nkema	n k e m a
nkisi	n k i s i
nkoko	n k o k o
nkuta	n k u t a
mvula	m v u l a
mvutu	m v u t u
nsai	n s a i
nsimba	n s i m b a
nsuka	n s u k a
miso	m i s o
maino	m a i n o
mikuwa	m i k u w a
mafuta	m a f u t a
masanga	m a s a ŋ g a
masua	m a s u a
matinda	m a t i n d a
molangi	m o l a ŋ g i
mokili	m o k i l i
moyibi	m o j i b i
mosali	m o s a l i
mobali	m o b a l i
mojali	m o ʒ a l i
molongi	m o l o ŋ g i
mosakoli	m o s a k o l i
monkufi	m o n k u f i
moteki	m o t e k i
mowuti	m o w u t i
bolingo	b o l i ŋ g o
bomoi	b o m o i
boyebi	b o j e b i
bokebi	b o k e b i
bosoto	b o s o t o
bokilo	b o k i l o
bokamba	b o k a m b a
bokulaka	b o k u l a k a
bonkoko	b o n k o k o
bondeli	b o n d e l i
losambo	l o s a m b o
lokuta	l o k u t a
lobela	l o b e l a
lotomo	l o t o m o
lomingo	l o m i ŋ g o
lipanda	l i p a n d a
lisungi	l i s u ŋ g i
likolo	l i k o l o
liboso	l i b o s o
liwa	l i w a
ekomeli	e k o m e l i
ekolo	e k o l o
esika	e s i k a
elaka	e l a k a
elimo	e l i m o
esengo	e s e ŋ g o
engumba	e ŋ g u m b a
esobe	e s o b e
engweli	e ŋ g w e l i
kobuya	k o b u j a
kobima	k o b i m a
koluka	k o l u k a
kolanda	k o l a n d a
kosepela	k o s e p e l a
koloba	k o l o b a
kosimba	k o s i m b a
kozwa	k o z w a
kobuya	k o b u j a
kotala	k o t a l a
kobanda	k o b a n d a
kosalela	k o s a l e l a
kolakisa	k o l a k i s a
kozala	k o z a l a
kolanda	k o l a n d a
kotika	k o t i k a
koboya	k o b o j a
kolya	k o l j a
komela	k o m e l a
kofanda	k o f a n d a
kovanda	k o v a n d a
kofuta	k o f u t a
kopanza	k o p a n z a
kolonga	k o l o ŋ g a
kobongola	k o b o ŋ g o l a
kosangana	k o s a ŋ g a n a
kozonga	k o z o ŋ g a
kovanda	k o v a n d a
kobeta	k o b e t a
kokende	k o k e n d e
koya	k o j a
kofanda	k o f a n d a
kopona	k o p o n a
kobunga	k o b u ŋ g a
kosunga	k o s u ŋ g a
kokende	k o k e n d e
noki	n o k i
lelo	l e l o
lobi	l o b i
ntango mosusu	n t a ŋ g o m o s u s u
sikoyo	s i k o j o
butu	b u t u
tongo	t o ŋ g o
yambo	j a m b o
ya moke	j a m o k e
ya mingi	j a m i ŋ g i
ya liboso	j a l i b o s o
ya nsima	j a n s i m a
ya kati	j a k a t i
ya loboko	j a l o b o k o
ya sanza	j a s a n z a
ya mobu	j a m o b u
ya mbula	j a m b u l a
fɔngɔ	f ɔ ŋ g ɔ
lɔngɔ	l ɔ ŋ g ɔ
kɔngɔ	k ɔ ŋ g ɔ
bɔngɔ	b ɔ ŋ g ɔ
sɔngɔ	s ɔ ŋ g ɔ
tɔngɔ	t ɔ ŋ g ɔ
mɔngɔ	m ɔ ŋ g ɔ
nɔngɔ	n ɔ ŋ g ɔ
pɔngɔ	p ɔ ŋ g ɔ
wɛlɛ	w ɛ l ɛ
yɛlɛ	j ɛ l ɛ
vɛvɛ	v ɛ v ɛ
zɛlɛ	z ɛ l ɛ
dɛlɛ	d ɛ l ɛ
gɛlɛ	g ɛ l ɛ
jɔkɔ	ʒ ɔ k ɔ
jɛkɛ	ʒ ɛ k ɛ
